PMID,title,journal,nodeGroup
32434945,DNA vaccine protection against SARS-CoV-2 in rhesus macaques.,"Science (New York, N.Y.)",2
32591408,Phenotype and kinetics of SARS-CoV-2-specific T cells in COVID-19 patients with acute respiratory distress syndrome.,Science immunology,2
14647384,Angiotensin-converting enzyme 2 is a functional receptor for the SARS coronavirus.,Nature,2
32344679,"The COVID-19 Pandemic: A Comprehensive Review of Taxonomy, Genetics, Epidemiology, Diagnosis, Treatment, and Control.",Journal of clinical medicine,2
20883165,Immunogenicity and protective efficacy in mice and hamsters of a β-propiolactone inactivated whole virus SARS-CoV vaccine.,Viral immunology,2
32555424,Clinical and immunological assessment of asymptomatic SARS-CoV-2 infections.,Nature medicine,2
25640653,Identification of an ideal adjuvant for receptor-binding domain-based subunit vaccines against Middle East respiratory syndrome coronavirus.,Cellular & molecular immunology,2
31553909,Structural Definition of a Neutralization-Sensitive Epitope on the MERS-CoV S1-NTD.,Cell reports,2
32636454,Infection with novel coronavirus (SARS-CoV-2) causes pneumonia in Rhesus macaques.,Cell research,2
23701746,"Randomized, double-blind, placebo-controlled, safety and immunogenicity study of 4 formulations of Anthrax Vaccine Adsorbed plus CPG 7909 (AV7909) in healthy adult volunteers.",Vaccine,2
12711465,Coronavirus as a possible cause of severe acute respiratory syndrome.,"Lancet (London, England)",2
16973594,Proteolytic activation of influenza viruses by serine proteases TMPRSS2 and HAT from human airway epithelium.,Journal of virology,2
26203246,Respiratory syncytial virus-like nanoparticle vaccination induces long-term protection without pulmonary disease by modulating cytokines and T-cells partially through alveolar macrophages.,International journal of nanomedicine,2
17855683,Disappearance of antibodies to SARS-associated coronavirus after recovery.,The New England journal of medicine,2
32046819,"Incubation period of 2019 novel coronavirus (2019-nCoV) infections among travellers from Wuhan, China, 20-28 January 2020.",Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,2
10037236,An advanced culture method for generating large quantities of highly pure dendritic cells from mouse bone marrow.,Journal of immunological methods,2
14983044,Potent neutralization of severe acute respiratory syndrome (SARS) coronavirus by a human mAb to S1 protein that blocks receptor association.,Proceedings of the National Academy of Sciences of the United States of America,2
33069281,"Safety and immunogenicity of an inactivated SARS-CoV-2 vaccine, BBIBP-CorV: a randomised, double-blind, placebo-controlled, phase 1/2 trial.",The Lancet. Infectious diseases,2
32731257,Single-shot Ad26 vaccine protects against SARS-CoV-2 in rhesus macaques.,Nature,2
17507479,Synthetic reconstruction of zoonotic and early human severe acute respiratory syndrome coronavirus isolates that produce fatal disease in aged mice.,Journal of virology,2
29199281,Emerging viral diseases from a vaccinology perspective: preparing for the next pandemic.,Nature immunology,2
32255761,High Contagiousness and Rapid Spread of Severe Acute Respiratory Syndrome Coronavirus 2.,Emerging infectious diseases,2
24850731,Effects of Toll-like receptor stimulation on eosinophilic infiltration in lungs of BALB/c mice immunized with UV-inactivated severe acute respiratory syndrome-related coronavirus vaccine.,Journal of virology,2
16862151,A potential molecular mechanism for hypersensitivity caused by formalin-inactivated vaccines.,Nature medicine,2
32289263,An Infectious cDNA Clone of SARS-CoV-2.,Cell host & microbe,2
14752165,Molecular evolution of the SARS coronavirus during the course of the SARS epidemic in China.,"Science (New York, N.Y.)",2
33053279,Safety and Immunogenicity of Two RNA-Based Covid-19 Vaccine Candidates.,The New England journal of medicine,1
31735500,"A phase I trial evaluating the safety and immunogenicity of a candidate tuberculosis vaccination regimen, ChAdOx1 85A prime - MVA85A boost in healthy UK adults.",Vaccine,2
32534626,"Seroprevalence of anti-SARS-CoV-2 IgG antibodies in Geneva, Switzerland (SEROCoV-POP): a population-based study.","Lancet (London, England)",2
29109276,Contemporary H3N2 influenza viruses have a glycosylation site that alters binding of antibodies elicited by egg-adapted vaccine strains.,Proceedings of the National Academy of Sciences of the United States of America,2
22278370,Comparative proteomic analysis of eleven common cell lines reveals ubiquitous but varying expression of most proteins.,Molecular & cellular proteomics : MCP,2
15381196,Cellular entry of the SARS coronavirus.,Trends in microbiology,2
27061888,Variable influenza vaccine effectiveness by subtype: a systematic review and meta-analysis of test-negative design studies.,The Lancet. Infectious diseases,2
32203189,Characterization of the receptor-binding domain (RBD) of 2019 novel coronavirus: implication for development of RBD protein as a viral attachment inhibitor and vaccine.,Cellular & molecular immunology,2
32697968,Tracking Changes in SARS-CoV-2 Spike: Evidence that D614G Increases Infectivity of the COVID-19 Virus.,Cell,2
32618497,High neutralizing antibody titer in intensive care unit patients with COVID-19.,Emerging microbes & infections,2
27682426,Pre-fusion F is absent on the surface of formalin-inactivated respiratory syncytial virus.,Scientific reports,2
19198616,The spike protein of SARS-CoV--a target for vaccine and therapeutic development.,Nature reviews. Microbiology,2
20362616,Ageing and immunity: addressing immune senescence to ensure healthy ageing.,Vaccine,2
23296926,HPLC purification of in vitro transcribed long RNA.,"Methods in molecular biology (Clifton, N.J.)",2
26038486,Rapidly produced SAM(®) vaccine against H7N9 influenza is immunogenic in mice.,Emerging microbes & infections,2
33220855,"Safety and immunogenicity of ChAdOx1 nCoV-19 vaccine administered in a prime-boost regimen in young and old adults (COV002): a single-blind, randomised, controlled, phase 2/3 trial.","Lancet (London, England)",1
26976607,SARS-like WIV1-CoV poised for human emergence.,Proceedings of the National Academy of Sciences of the United States of America,2
4305197,An epidemiologic study of altered clinical reactivity to respiratory syncytial (RS) virus infection in children previously vaccinated with an inactivated RS virus vaccine.,American journal of epidemiology,2
27332149,Persistence of Antibodies against Middle East Respiratory Syndrome Coronavirus.,Emerging infectious diseases,2
28457665,Preclinical and Clinical Demonstration of Immunogenicity by mRNA Vaccines against H10N8 and H7N9 Influenza Viruses.,Molecular therapy : the journal of the American Society of Gene Therapy,2
25359562,mRNA transcript therapy.,Expert review of vaccines,2
29519670,Heterologous Two-Dose Vaccination with Simian Adenovirus and Poxvirus Vectors Elicits Long-Lasting Cellular Immunity to Influenza Virus A in Healthy Adults.,EBioMedicine,2
32616673,Primary exposure to SARS-CoV-2 protects against reinfection in rhesus macaques.,"Science (New York, N.Y.)",2
32203366,The coronavirus pandemic in five powerful charts.,Nature,2
12682352,A major outbreak of severe acute respiratory syndrome in Hong Kong.,The New England journal of medicine,2
32259480,SARS-CoV-2 Vaccines: Status Report.,Immunity,2
27092831,Safety and Immunogenicity of Novel Adenovirus Type 26- and Modified Vaccinia Ankara-Vectored Ebola Vaccines: A Randomized Clinical Trial.,JAMA,2
4305198,Respiratory syncytial virus disease in infants despite prior administration of antigenic inactivated vaccine.,American journal of epidemiology,2
15096611,Severe acute respiratory syndrome coronavirus spike protein expressed by attenuated vaccinia virus protectively immunizes mice.,Proceedings of the National Academy of Sciences of the United States of America,2
26458833,Laboratory-Scale Production of Replication-Deficient Adenovirus Vectored Vaccines.,"Methods in molecular biology (Clifton, N.J.)",2
15220038,Human monoclonal antibody as prophylaxis for SARS coronavirus infection in ferrets.,"Lancet (London, England)",2
23306021,Transfection efficiency and transgene expression kinetics of mRNA delivered in naked and nanoparticle format.,Journal of controlled release : official journal of the Controlled Release Society,2
15265895,IFN-alpha subtypes differentially affect human T cell motility.,"Journal of immunology (Baltimore, Md. : 1950)",2
31371616,A proof of concept for structure-based vaccine design targeting RSV in humans.,"Science (New York, N.Y.)",2
