PMID,title,journal,nodeGroup,isSpikeNode
32434945,DNA vaccine protection against SARS-CoV-2 in rhesus macaques.,"Science (New York, N.Y.)",2,1
32591408,Phenotype and kinetics of SARS-CoV-2-specific T cells in COVID-19 patients with acute respiratory distress syndrome.,Science immunology,2,0
14647384,Angiotensin-converting enzyme 2 is a functional receptor for the SARS coronavirus.,Nature,2,0
32344679,"The COVID-19 Pandemic: A Comprehensive Review of Taxonomy, Genetics, Epidemiology, Diagnosis, Treatment, and Control.",Journal of clinical medicine,2,0
20883165,Immunogenicity and protective efficacy in mice and hamsters of a β-propiolactone inactivated whole virus SARS-CoV vaccine.,Viral immunology,2,0
32555424,Clinical and immunological assessment of asymptomatic SARS-CoV-2 infections.,Nature medicine,2,0
25640653,Identification of an ideal adjuvant for receptor-binding domain-based subunit vaccines against Middle East respiratory syndrome coronavirus.,Cellular & molecular immunology,2,0
31553909,Structural Definition of a Neutralization-Sensitive Epitope on the MERS-CoV S1-NTD.,Cell reports,2,0
32636454,Infection with novel coronavirus (SARS-CoV-2) causes pneumonia in Rhesus macaques.,Cell research,2,0
23701746,"Randomized, double-blind, placebo-controlled, safety and immunogenicity study of 4 formulations of Anthrax Vaccine Adsorbed plus CPG 7909 (AV7909) in healthy adult volunteers.",Vaccine,2,0
12711465,Coronavirus as a possible cause of severe acute respiratory syndrome.,"Lancet (London, England)",2,0
16973594,Proteolytic activation of influenza viruses by serine proteases TMPRSS2 and HAT from human airway epithelium.,Journal of virology,2,0
26203246,Respiratory syncytial virus-like nanoparticle vaccination induces long-term protection without pulmonary disease by modulating cytokines and T-cells partially through alveolar macrophages.,International journal of nanomedicine,2,0
17855683,Disappearance of antibodies to SARS-associated coronavirus after recovery.,The New England journal of medicine,2,0
32046819,"Incubation period of 2019 novel coronavirus (2019-nCoV) infections among travellers from Wuhan, China, 20-28 January 2020.",Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,2,0
10037236,An advanced culture method for generating large quantities of highly pure dendritic cells from mouse bone marrow.,Journal of immunological methods,2,0
14983044,Potent neutralization of severe acute respiratory syndrome (SARS) coronavirus by a human mAb to S1 protein that blocks receptor association.,Proceedings of the National Academy of Sciences of the United States of America,2,0
33069281,"Safety and immunogenicity of an inactivated SARS-CoV-2 vaccine, BBIBP-CorV: a randomised, double-blind, placebo-controlled, phase 1/2 trial.",The Lancet. Infectious diseases,2,0
32731257,Single-shot Ad26 vaccine protects against SARS-CoV-2 in rhesus macaques.,Nature,2,1
17507479,Synthetic reconstruction of zoonotic and early human severe acute respiratory syndrome coronavirus isolates that produce fatal disease in aged mice.,Journal of virology,2,0
29199281,Emerging viral diseases from a vaccinology perspective: preparing for the next pandemic.,Nature immunology,2,0
32255761,High Contagiousness and Rapid Spread of Severe Acute Respiratory Syndrome Coronavirus 2.,Emerging infectious diseases,2,1
24850731,Effects of Toll-like receptor stimulation on eosinophilic infiltration in lungs of BALB/c mice immunized with UV-inactivated severe acute respiratory syndrome-related coronavirus vaccine.,Journal of virology,2,0
16862151,A potential molecular mechanism for hypersensitivity caused by formalin-inactivated vaccines.,Nature medicine,2,0
32289263,An Infectious cDNA Clone of SARS-CoV-2.,Cell host & microbe,2,0
14752165,Molecular evolution of the SARS coronavirus during the course of the SARS epidemic in China.,"Science (New York, N.Y.)",2,0
33053279,Safety and Immunogenicity of Two RNA-Based Covid-19 Vaccine Candidates.,The New England journal of medicine,1,1
31735500,"A phase I trial evaluating the safety and immunogenicity of a candidate tuberculosis vaccination regimen, ChAdOx1 85A prime - MVA85A boost in healthy UK adults.",Vaccine,2,0
32534626,"Seroprevalence of anti-SARS-CoV-2 IgG antibodies in Geneva, Switzerland (SEROCoV-POP): a population-based study.","Lancet (London, England)",2,0
29109276,Contemporary H3N2 influenza viruses have a glycosylation site that alters binding of antibodies elicited by egg-adapted vaccine strains.,Proceedings of the National Academy of Sciences of the United States of America,2,0
22278370,Comparative proteomic analysis of eleven common cell lines reveals ubiquitous but varying expression of most proteins.,Molecular & cellular proteomics : MCP,2,0
