title,journal,pubDate
Remote Anatomic Pathology Medical Student Education in Washington State: An Early COVID-19 Experience,American Journal of Clinical Pathology,2020-08-20
Position paper on COVID-19 imaging and AI: From the clinical needs and technological challenges to initial AI solutions at the lab and national level towards a new era for AI in healthcare,Medical Image Analysis,2020-08-19
"The SARS-Cov-2 threat in Cracolândia, an open-air drug use scene in Brazil",The International Journal on Drug Policy,2020-07-02
How will Covid-19 Influence Addictive Behaviours and their Management?,Journal of Psychosocial Rehabilitation and Mental Health,2020-10-22
Putting resiliency of a health system to the test: COVID-19 in Taiwan,Journal of the Formosan Medical Association,2020-03-21
Aryl Hydrocarbon Receptor Role in Co-Ordinating SARS-CoV-2 Entry and Symptomatology: Linking Cytotoxicity Changes in COVID-19 and Cancers; Modulation by Racial Discrimination Stress,Biology,2020-08-27
Transforming pediatric neuropsychology through video-based teleneuropsychology: an innovative private practice model pre-COVID-19,Archives of Clinical Neuropsychology,2020-11-07
Alkaloids and flavonoids from African phytochemicals as potentialinhibitors of SARS-Cov-2 RNA-dependent RNA polymerase: an  perspective,Antiviral Chemistry & Chemotherapy,2020-12-29
Lockdown timing and efficacy in controlling COVID-19 using mobile phone tracking,EClinicalMedicine,2020-07-13
"The acceptance of Covid-19 tracking technologies: The role of perceived threat, lack of control, and ideological beliefs",PLoS ONE,2020-09-11
Gender and palliative care: a call to arms,Palliative Care and Social Practice,2020-10-15
Finding the forgotten gems: revisiting the butterflies of Matheran after 125 years with introduction to novel colour barcode for depicting seasons and activity of the Indian butterflies,Biodiversity Data Journal,2020-08-07
"Modeling the Novel Coronavirus (SARS-CoV-2) Outbreak in Sicily, Italy",International Journal of Environmental Research and Public Health,2020-07-09
Avoiding Disinformation Traps in COVID-19: July 2020 Annals of Emergency Medicine Journal Club,Annals of Emergency Medicine,2020-05-08
"Exploring Lifestyle Habits, Physical Activity, Anxiety and Basic Psychological Needs in a Sample of Portuguese Adults during COVID-19",International Journal of Environmental Research and Public Health,2020-06-18
Multisystem Inflammatory Syndrome in Children and Kawasaki Disease: Two Different Illnesses with Overlapping Clinical Features,The Journal of Pediatrics,2020-06-22
